2016/12/30 12:36:43:161  applicationDidBecomeActive:
2016/12/30 12:36:55:743  Notify with data <a4090000 10000000 1e000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.1080000022687017|distance:0>
2016/12/30 12:36:55:743  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:55:743  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 1e000020>
2016/12/30 12:36:55:743  Notify with data <a4090000 10000000 1e000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.1080000022687017|distance:0>
2016/12/30 12:36:56:702  elevation calculation <speed:30|slope:0|distance:0|speedtimedistance:27.96777069568634|elevation:0|elevationChange:0>
2016/12/30 12:36:56:734  elevation calculation <speed:30|slope:0|distance:-13.98388534784317|speedtimedistance:0.01223981380462646|elevation:0|elevationChange:-0>
2016/12/30 12:36:56:734  <reader_timed_RPM> requested SpecificTrainerDataPage:<TACPageRequestPage|requestPage:25>
2016/12/30 12:36:56:735  <reader_timed_Distance> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:56:735  <reader_timed_Speed> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:56:736  logging data point
2016/12/30 12:36:56:738  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:56:738  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801901 39>
2016/12/30 12:36:56:738  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:56:738  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:56:738  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:56:738  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:56:738  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:56:738  Recieved page class TACPageRequestPage
2016/12/30 12:36:56:738  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:29|powerW:31>
2016/12/30 12:36:56:739  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:56:739  Recieved page class TACPageRequestPage
2016/12/30 12:36:56:739  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:22|distance:0>
2016/12/30 12:36:56:739  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:56:739  Recieved page class TACPageRequestPage
2016/12/30 12:36:56:739  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:22|distance:0>
2016/12/30 12:36:56:739  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:56:740  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:56:740  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:56:740  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:56:740  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19001d00 001f0000>
2016/12/30 12:36:56:740  Notify with data <a4090000 19001d00 001f0000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:29|powerW:31>
2016/12/30 12:36:56:746  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:56:746  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 16000020>
2016/12/30 12:36:56:746  Notify with data <a4090000 10000000 16000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.07920000166371455|distance:0>
2016/12/30 12:36:56:746  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:56:746  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 16000020>
2016/12/30 12:36:56:746  Notify with data <a4090000 10000000 16000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.07920000166371455|distance:0>
2016/12/30 12:36:57:704  elevation calculation <speed:22|slope:0|distance:6.985822767019272|speedtimedistance:20.5745974779129|elevation:0|elevationChange:0>
2016/12/30 12:36:57:734  elevation calculation <speed:22|slope:0|distance:-13.78021012246609|speedtimedistance:0.006072640419006348|elevation:0|elevationChange:-0>
2016/12/30 12:36:57:734  <reader_timed_RPM> requested SpecificTrainerDataPage:<TACPageRequestPage|requestPage:25>
2016/12/30 12:36:57:735  <reader_timed_Distance> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:57:735  <reader_timed_Speed> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:57:736  logging data point
2016/12/30 12:36:57:739  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:57:739  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801901 39>
2016/12/30 12:36:57:739  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:57:739  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:57:740  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:57:740  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:57:740  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:57:740  Recieved page class TACPageRequestPage
2016/12/30 12:36:57:740  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:38|powerW:39>
2016/12/30 12:36:57:740  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:57:740  Recieved page class TACPageRequestPage
2016/12/30 12:36:57:740  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:28|distance:0>
2016/12/30 12:36:57:740  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:57:740  Recieved page class TACPageRequestPage
2016/12/30 12:36:57:740  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:28|distance:0>
2016/12/30 12:36:57:740  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:57:740  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:57:741  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:57:741  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:57:741  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19002600 00270000>
2016/12/30 12:36:57:741  Notify with data <a4090000 19002600 00270000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:38|powerW:39>
2016/12/30 12:36:57:743  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:57:743  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 1c000020>
2016/12/30 12:36:57:744  Notify with data <a4090000 10000000 1c000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.1008000021174549|distance:0>
2016/12/30 12:36:57:744  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:57:744  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 1c000020>
2016/12/30 12:36:57:744  Notify with data <a4090000 10000000 1c000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.1008000021174549|distance:0>
2016/12/30 12:36:58:702  elevation calculation <speed:28|slope:0|distance:6.88706874102354|speedtimedistance:26.15541505813599|elevation:0|elevationChange:0>
2016/12/30 12:36:58:733  elevation calculation <speed:28|slope:0|distance:-16.52124189957976|speedtimedistance:0.006273508071899414|elevation:0|elevationChange:-0>
2016/12/30 12:36:58:733  <reader_timed_RPM> requested SpecificTrainerDataPage:<TACPageRequestPage|requestPage:25>
2016/12/30 12:36:58:734  <reader_timed_Distance> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:58:734  <reader_timed_Speed> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:58:735  logging data point
2016/12/30 12:36:58:738  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:58:738  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801901 39>
2016/12/30 12:36:58:739  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:58:739  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:58:739  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:58:739  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:58:739  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:58:739  Recieved page class TACPageRequestPage
2016/12/30 12:36:58:739  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:24|powerW:38>
2016/12/30 12:36:58:739  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:58:739  Recieved page class TACPageRequestPage
2016/12/30 12:36:58:739  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:19|distance:0>
2016/12/30 12:36:58:740  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:58:740  Recieved page class TACPageRequestPage
2016/12/30 12:36:58:740  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:19|distance:0>
2016/12/30 12:36:58:740  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:58:740  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:58:740  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:58:740  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:58:740  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19001800 00260000>
2016/12/30 12:36:58:740  Notify with data <a4090000 19001800 00260000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:24|powerW:38>
2016/12/30 12:36:58:747  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:58:747  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 13000020>
2016/12/30 12:36:58:748  Notify with data <a4090000 10000000 13000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.06840000143684438|distance:0>
2016/12/30 12:36:58:749  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:58:749  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 13000020>
2016/12/30 12:36:58:749  Notify with data <a4090000 10000000 13000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.06840000143684438|distance:0>
2016/12/30 12:36:59:703  elevation calculation <speed:19|slope:0|distance:8.257484195753932|speedtimedistance:17.79104840755463|elevation:0|elevationChange:0>
2016/12/30 12:36:59:733  elevation calculation <speed:19|slope:0|distance:-13.02426630165428|speedtimedistance:0.009823203086853027|elevation:0|elevationChange:-0>
2016/12/30 12:36:59:734  <reader_timed_RPM> requested SpecificTrainerDataPage:<TACPageRequestPage|requestPage:25>
2016/12/30 12:36:59:734  <reader_timed_Distance> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:59:735  <reader_timed_Speed> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:36:59:735  logging data point
2016/12/30 12:36:59:738  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:59:738  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801901 39>
2016/12/30 12:36:59:738  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:59:738  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:59:738  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:36:59:738  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:36:59:738  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:59:738  Recieved page class TACPageRequestPage
2016/12/30 12:36:59:738  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:26|powerW:13>
2016/12/30 12:36:59:738  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:59:738  Recieved page class TACPageRequestPage
2016/12/30 12:36:59:739  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:14|distance:0>
2016/12/30 12:36:59:739  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:36:59:739  Recieved page class TACPageRequestPage
2016/12/30 12:36:59:739  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:14|distance:0>
2016/12/30 12:36:59:739  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:59:739  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:59:739  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:36:59:739  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:59:739  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19001a00 000d0000>
2016/12/30 12:36:59:739  Notify with data <a4090000 19001a00 000d0000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:26|powerW:13>
2016/12/30 12:36:59:741  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:59:741  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 0e000020>
2016/12/30 12:36:59:741  Notify with data <a4090000 10000000 0e000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.05040000105872744|distance:0>
2016/12/30 12:36:59:741  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:36:59:741  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 0e000020>
2016/12/30 12:36:59:741  Notify with data <a4090000 10000000 0e000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.05040000105872744|distance:0>
2016/12/30 12:37:00:698  elevation calculation <speed:14|slope:0|distance:6.507221549283713|speedtimedistance:13.01725554466248|elevation:0|elevationChange:0>
2016/12/30 12:37:00:730  elevation calculation <speed:14|slope:0|distance:-9.762238546973094|speedtimedistance:0.002505898475646973|elevation:0|elevationChange:-0>
2016/12/30 12:37:00:731  <reader_timed_RPM> requested SpecificTrainerDataPage:<TACPageRequestPage|requestPage:25>
2016/12/30 12:37:00:731  <reader_timed_Distance> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:37:00:731  <reader_timed_Speed> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:37:00:731  logging data point
2016/12/30 12:37:00:734  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:37:00:734  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801901 39>
2016/12/30 12:37:00:735  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:37:00:735  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:37:00:735  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:37:00:735  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:37:00:735  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:37:00:735  Recieved page class TACPageRequestPage
2016/12/30 12:37:00:735  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:11|powerW:23>
2016/12/30 12:37:00:735  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:37:00:735  Recieved page class TACPageRequestPage
2016/12/30 12:37:00:735  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:16|distance:0>
2016/12/30 12:37:00:735  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:37:00:736  Recieved page class TACPageRequestPage
2016/12/30 12:37:00:736  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:16|distance:0>
2016/12/30 12:37:00:736  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:37:00:736  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:37:00:736  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:37:00:736  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:37:00:736  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 19000b00 00170000>
2016/12/30 12:37:00:736  Notify with data <a4090000 19000b00 00170000> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageSpecificTrainerDataPage|cadenceRPM:11|powerW:23>
2016/12/30 12:37:00:738  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:37:00:738  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 0f000020>
2016/12/30 12:37:00:738  Notify with data <a4090000 10000000 0f000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.05400000113435083|distance:0>
2016/12/30 12:37:00:738  RZBLog(RZBLogLevelDelegate): peripheral:didUpdateValueForCharacteristic:error: - B367B14A-BD95-4607-B21E-660B749D0D15 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E (null)
2016/12/30 12:37:00:738  RZBLog(RZBLogLevelDelegateValue): Value=<a4090000 10000000 0f000020>
2016/12/30 12:37:00:738  Notify with data <a4090000 10000000 0f000020> for characteristic 6E40FEC2-B5A3-F393-E0A9-E50E24DCCA9E parsed as <TACPageGeneralFEDataPage|speed:0.05400000113435083|distance:0>
2016/12/30 12:37:01:701  elevation calculation <speed:15|slope:0|distance:4.879866324248724|speedtimedistance:14.07637506723404|elevation:0|elevationChange:0>
2016/12/30 12:37:01:741  elevation calculation <speed:15|slope:0|distance:-9.478120695741381|speedtimedistance:0.002654492855072021|elevation:0|elevationChange:-0>
2016/12/30 12:37:01:741  <reader_timed_RPM> requested SpecificTrainerDataPage:<TACPageRequestPage|requestPage:25>
2016/12/30 12:37:01:741  <reader_timed_Distance> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:37:01:741  <reader_timed_Speed> requested GeneralFEDataPage:<TACPageRequestPage|requestPage:16>
2016/12/30 12:37:01:742  logging data point
2016/12/30 12:37:01:747  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:37:01:747  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801901 39>
2016/12/30 12:37:01:748  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:37:01:748  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:37:01:748  RZBLog(RZBLogLevelCommand): B367B14A-BD95-4607-B21E-660B749D0D15 writeData:<data> forCharacteristic:6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E type:1
2016/12/30 12:37:01:748  RZBLog(RZBLogLevelWriteCommandData): Data=<a4094f05 46ffffff ff801001 30>
2016/12/30 12:37:01:748  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:37:01:748  Recieved page class TACPageRequestPage
2016/12/30 12:37:01:748  Processed request with page number 25 for SpecificTrainerDataPage with response <TACPageSpecificTrainerDataPage|cadenceRPM:30|powerW:30>
2016/12/30 12:37:01:749  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:37:01:749  Recieved page class TACPageRequestPage
2016/12/30 12:37:01:749  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:15|distance:0>
2016/12/30 12:37:01:749  RZBLog(RZBLogLevelSimulatedDevice): peripheralManager:didReceiveWriteRequests: -  @[6E40FEC3-B5A3-F393-E0A9-E50E24DCCA9E]
2016/12/30 12:37:01:749  Recieved page class TACPageRequestPage
2016/12/30 12:37:01:749  Processed request with page number 16 for GeneralFEDataPage with response <TACPageGeneralFEDataPage|speed:15|distance:0>
2016/12/30 12:37:01:749  RZBLog(RZBLogLevelSimulation): Not responding to write without response
2016/12/30 12:37:01:749  RZBLog(RZBLogLevelSimulation): Not responding to write without response
